,transcriptid
39613,1593215
39614,1652787
39615,1732287
39616,1759724
39617,1770024
39618,1791894
39619,1850905
39620,6674
39621,6675
39622,10803
39623,13846
39624,17132
39625,21726
39626,32487
39627,43942
39628,51091
39629,64849
39630,73181
39631,86068
39632,104771
39633,126323
39634,150681
39635,170987
39636,205813
39637,273790
39638,283104
39639,292197
39640,337902
39641,354783
39642,377480
39643,412897
39644,419408
39645,448648
39646,497261
39647,515855
39648,539182
39649,582308
39650,588301
39651,623460
39652,672292
39653,689755
39654,717569
39655,766888
39656,801332
39657,842276
39658,888697
39659,936144
39660,939996
39661,968326
39662,1036496
39663,1043123
39664,1066714
39665,1136208
39666,1183275
39667,1238746
39668,1261783
39669,1293936
39670,1325738
39671,1361567
39672,1393839
39673,1439485
39674,1522191
39675,1560719
39676,1584359
39677,1659511
39678,1708953
39679,1766045
39680,1786655
39681,1842553
39682,7977
39683,7979
39684,11121
39685,14380
39686,21530
39687,24548
39688,36424
39689,40851
39690,55983
39691,59257
39692,72081
39693,103196
39694,138789
39695,150451
39696,163141
39697,176099
39698,181887
39699,204059
39700,219163
39701,271070
39702,277823
39703,293699
39704,341774
39705,357279
39706,375213
39707,394048
39708,401939
39709,409840
39710,451061
39711,473844
39712,489238
39713,522831
39714,524011
39715,533672
39716,564860
39717,576338
39718,615761
39719,646155
39720,651753
39721,667011
39722,697118
39723,711092
39724,743600
39725,756115
39726,769374
39727,780364
39728,795806
39729,825826
39730,840550
39731,870408
39732,879800
39733,910399
39734,916125
39735,924770
39736,943717
39737,946614
39738,948541
39739,966915
39740,996067
39741,1012881
39742,1049294
39743,1051408
39744,1066647
39745,1123586
39746,1149515
39747,1153341
39748,1183537
39749,1215996
39750,1256451
39751,1296456
39752,1301277
39753,1319717
39754,1367863
39755,1377541
39756,1412339
39757,1437148
39758,1508341
39759,1556911
39760,1558155
39761,1560561
39762,1576751
39763,1632824
39764,1636119
39765,1647831
39766,1686371
39767,1687931
39768,1704797
39769,1766714
39770,1767913
39771,1767999
39772,1768703
39773,1769296
39774,1771279
39775,1789007
39776,1827164
39777,1827252
39778,1851275
39792,7642
39793,10616
39794,13432
39795,16219
39796,20387
39797,27148
39798,48064
39799,48480
39800,58007
39801,69703
39802,81890
39803,97861
39804,126452
39805,148395
39806,212441
39807,281607
39808,289960
39809,332963
39810,376124
39811,403654
39812,428697
39813,449572
39814,493704
39815,544905
39816,582990
39817,625212
39818,679344
39819,725256
39820,754023
39821,798291
39822,843874
39823,883245
39824,929934
39825,979175
39826,1014123
39827,1061000
39828,1130256
39829,1191608
39830,1264344
39831,1379868
39832,1383233
39833,1449293
39834,1481252
39835,1505051
39836,1525877
39837,1541515
39838,12326
39839,63810
39840,69268
39841,79883
39842,108091
39843,119533
39844,143322
39845,173327
39846,208292
39847,300030
39848,330847
39849,377719
39850,403386
39851,464624
39852,490584
39853,534840
39854,570988
39855,628186
39856,661860
39857,708868
39858,746772
39859,811574
39860,834690
39861,883220
39862,920908
39863,980558
39864,1011059
39865,1066872
39866,1120659
39867,1244722
39868,1246523
39869,1318033
39870,1373319
39871,1463040
39872,1501917
39873,1505730
39874,1551079
39875,1582667
39876,1641546
39877,1737214
39878,1776854
39879,1860468
39880,7570
39881,10697
39882,16216
39883,20564
39884,27482
39885,37937
39886,48267
39887,59549
39888,70229
39889,79847
39890,83134
39891,98411
39892,118646
39893,145666
39894,147516
39895,187307
39896,197837
39897,213278
39898,1164
39899,1165
39900,14481
39901,35242
39902,60025
39903,73900
39904,80263
39905,97927
39906,126238
39907,145685
39908,172206
39909,11844
39910,34588
39911,66595
39912,71489
39913,83938
39914,115130
39915,120739
39916,129361
39917,150146
39918,181284
39919,186137
39920,186868
39921,207647
39922,212669
39923,270144
39924,293259
39925,310049
39926,310524
39927,339322
39928,356529
39929,373398
39930,402637
39931,406891
39932,426960
39933,468359
39934,471860
39935,472282
39936,490867
39937,515123
39938,534828
39939,567964
39940,575202
39941,617664
39942,640341
39943,668176
39944,691767
39945,719861
39946,745966
39947,751956
39948,795058
39949,820478
39950,827645
39951,839149
39952,870812
39953,892274
39954,924108
39955,970053
39956,982201
39957,1020699
39958,1048696
39959,1079125
39960,1112016
39961,1124914
39962,1203056
39963,1274835
39964,1297164
39965,1333917
39966,1349944
39967,1368122
39968,1380975
39969,1458699
39970,1530268
39971,1603290
39972,1635937
39973,1651719
39974,1732838
39975,1768037
39976,1768240
39977,1816775
39978,1823529
39979,1852215
39980,12753
39981,15745
39982,19083
39983,19150
39984,19151
39985,19639
39986,28499
39987,37376
39988,54614
39989,66684
39990,68008
39991,80304
39992,95305
39993,115791
39994,120528
39995,132495
39996,143042
39997,174359
39998,179080
39999,207141
40000,210323
40001,276956
40002,284892
40003,288141
40004,304768
40005,310180
40006,317908
40007,333963
40008,354838
40009,356645
40010,358685
40011,366454
40012,401562
40013,405681
40014,422416
40015,462879
40016,465454
40017,472888
40018,476879
40019,485375
40020,512333
40021,514322
40022,529782
40023,567955
40024,570305
40025,614437
40026,614969
40027,637935
40028,659733
40029,696831
40030,697093
40031,704769
40032,745878
40033,749696
40034,786111
40035,792683
40036,803068
40037,819205
40038,827655
40039,837986
40040,870122
40041,880642
40042,918261
40043,923770
40044,924267
40045,933969
40046,960334
40047,965265
40048,985494
40049,991387
40050,996327
40051,1011093
40052,1047348
40053,1065623
40054,1085156
40055,1111378
40056,1116309
40057,1177589
40058,1193750
40059,1212824
40060,1229595
40061,1258428
40062,1298578
40063,1325080
40064,1367679
40065,1376786
40066,1441875
40067,1449203
40068,1458618
40069,1471677
40070,1493166
40071,1507450
40072,1557100
40073,1561230
40074,1590880
40075,1618063
40076,1619752
40077,1643393
40078,1675000
40079,1704375
40080,1721521
40081,1759199
40082,1765298
40083,1766650
40084,1768685
40085,1769176
40086,1781568
40087,1825688
40088,1850448
40089,1856027
40090,8615
40091,8616
40092,10480
40093,13098
40094,15917
40095,20883
40096,27951
40097,39408
40098,47414
40099,57499
40100,70677
40101,82819
40102,96482
40103,121540
40104,149701
40105,184472
40106,211971
40107,292378
40108,332539
40109,370533
40110,405011
40111,489200
40112,534566
40113,571004
40114,615726
40115,663505
40116,709023
40117,752878
40118,801275
40119,813685
40120,853511
40121,884394
40122,923379
40123,968409
40124,1018187
40125,1065258
40126,1118840
40127,1183609
40128,1258738
40129,1323317
40130,1508420
40131,1554134
40132,1565854
40133,1583018
40134,1641321
40135,1708788
40136,1759202
40137,1782771
40138,1842828
40139,5234
40140,5235
40141,11895
40142,15187
40143,19481
40144,32477
40145,44077
40146,55267
40147,63966
40148,78058
40149,90012
40150,114306
40151,134950
40152,166212
40153,200935
40154,286119
40155,316507
40156,354831
40157,395763
40158,442022
40159,474664
40160,512756
40161,560752
40162,625165
40163,652034
40164,692468
40165,740523
40166,789003
40167,826125
40168,865773
40169,913716
40170,958458
40171,963324
40172,996099
40173,1042845
40174,1100950
40175,1160589
40176,1169701
40177,1296466
40178,1298896
40179,1359318
40180,1393173
40181,1429399
40182,1485330
40183,1493704
40184,14091
40185,17043
40186,18864
40187,18866
40188,20895
40189,27953
40190,39392
40191,50614
40192,70547
40193,82364
40194,111772
40195,120420
40196,148453
40197,179917
40198,259344
40199,324834
40200,334308
40201,373583
40202,416860
40203,448288
40204,488757
40205,536247
40206,587074
40207,615534
40208,663470
40209,714837
40210,761562
40211,793061
40212,837860
40213,890416
40214,932600
40215,939906
40216,963596
40217,1011513
40218,1066630
40219,1129490
40220,1183244
40221,1261867
40222,1323874
40223,1401789
40224,1441464
40225,1510853
40226,1580770
40227,1659951
40228,1717575
40229,1759572
40230,1768513
40231,1784567
40232,1858510
40353,12156
40354,36114
40355,50220
40356,60846
40357,73212
40358,86657
40359,101947
40360,125131
40361,152918
40362,169272
40363,187078
40364,197841
40365,199096
40366,257078
40367,270641
40368,301227
40369,347164
40370,363568
40371,381331
40372,393788
40373,414628
40374,417851
40375,424993
40376,429544
40377,458144
40378,459571
40379,474930
40380,501713
40381,522550
40382,547852
40383,558438
40384,562294
40385,581318
40386,583429
40387,598174
40388,600718
40389,625131
40390,646938
40391,657688
40392,681448
40393,696281
40394,729342
40395,736710
40396,764227
40397,781011
40398,783775
40399,811650
40400,816667
40401,821208
40402,863727
40403,898708
40404,909290
40405,934187
40406,945859
40407,979196
40408,1031664
40409,1766796
40410,6258
40411,11934
40412,13550
40413,16184
40414,21701
40415,28645
40416,39083
40417,48281
40418,58864
40419,70169
40420,82470
40421,98447
40422,119089
40423,140653
40424,151992
40425,170796
40426,179141
40427,264132
40428,295936
40429,339001
40430,357317
40431,374717
40432,419967
40433,453124
40434,495312
40435,537893
40436,584397
40437,621518
40438,670086
40439,713569
40440,757976
40441,806291
40442,848683
40443,892954
40444,938774
40445,15120
40446,94099
40447,96572
40448,96605
40449,97970
40450,111334
40451,125966
40452,157915
40453,189276
40454,281287
40455,304025
40456,347247
40457,385145
40458,437178
40459,460892
40460,503828
40461,552615
40462,602948
40463,633315
40464,660819
40465,681191
40466,725707
40467,778462
40468,801685
40469,859157
40470,1556589
40471,1586088
40472,1640986
40473,1727990
40474,1757737
40475,1783206
40476,1842739
40477,11257
40478,13540
40479,18781
40480,35887
40481,60510
40482,70812
40483,83132
40484,93534
40485,110085
40486,116927
40487,144530
40488,148450
40489,168590
40490,175845
40491,199226
40492,212174
40493,265402
40494,277826
40495,290849
40496,307423
40497,311575
40498,333787
40499,354523
40500,356509
40501,361538
40502,370931
40503,392279
40504,406306
40505,428641
40506,449626
40507,474229
40508,489145
40509,505374
40510,512106
40511,517155
40512,533649
40513,566096
40514,571053
40515,585033
40516,617234
40517,639474
40518,641589
40519,646124
40520,663412
40521,688561
40522,693882
40523,708890
40524,736831
40525,740404
40526,743264
40527,748456
40528,760548
40529,819306
40530,821532
40531,825841
40532,837923
40533,859848
40534,866323
40535,871700
40536,881433
40537,909407
40538,912516
40539,915953
40540,920151
40541,933294
40542,945210
40543,961525
40544,992229
40545,995088
40546,1010496
40547,1041656
40548,1046353
40549,1058789
40550,1093732
40551,1099859
40552,1108276
40553,1118995
40554,1147878
40555,1174948
40556,1215943
40557,1221682
40558,1223674
40559,1230768
40560,1249610
40561,1282923
40562,1293208
40563,1293878
40564,1298677
40565,1316726
40566,1355318
40567,1358942
40568,1359775
40569,1366891
40570,1375256
40571,1390269
40572,1446482
40573,1474520
40574,1483413
40575,1487509
40576,1494129
40577,1515881
40578,1543967
40579,1551771
40580,1557252
40581,1588546
40582,1618109
40583,1625190
40584,1644302
40585,1658401
40586,1669970
40587,1696171
40588,1716698
40589,1747939
40590,1762842
40591,1763572
40592,1767714
40593,1769237
40594,1770029
40595,1771269
40596,1808253
40597,1823898
40598,1850430
40607,35982
40608,95252
40609,95344
40610,96970
40611,96973
40612,96991
40613,97321
40614,102785
40615,102934
40616,108367
40617,110664
40618,125827
40619,142029
40620,158180
40621,187611
40622,267542
40623,301405
40624,344561
40625,384050
40626,430664
40627,9249
40628,66931
40629,4880
40630,9882
40631,12540
40632,15337
40633,19451
40634,24253
40635,35101
40636,45211
40637,54465
40638,66120
40639,79319
40640,90982
40641,112117
40642,130947
40643,137255
40644,164862
40645,170523
40646,194507
40647,203106
40648,212387
40649,265519
40650,278370
40651,301137
40652,310226
40653,311015
40654,321075
40655,352495
40656,361140
40657,388285
40658,399227
40659,405640
40660,411383
40661,436426
40662,478740
40663,511307
40664,525436
40665,540410
40666,554315
40667,563450
40668,571464
40669,645587
40670,646907
40671,652789
40672,657507
40673,699108
40674,745354
40675,748236
40676,757753
40677,759033
40678,784375
40679,825785
40680,829975
40681,872714
40682,905504
40683,914736
40684,920025
40685,931020
40686,999984
40687,1000676
40688,1049957
40689,1051584
40690,1086967
40691,1103586
40692,1118928
40693,1135729
40694,1158342
40695,1222497
40696,1222725
40697,1230200
40698,1307478
40699,1362291
40700,1374609
40701,1420963
40702,1473267
40703,1491486
40704,1561180
40705,1614760
40706,1633648
40707,1640927
40708,1642093
40709,1657166
40710,1690119
40711,1755436
40712,1763719
40713,1769505
40714,1769843
40715,1769884
40716,1771603
40717,1828520
40718,13562
40719,16387
40720,18614
40721,18615
40722,18616
40723,20579
40724,30378
40725,41015
40726,48026
40727,76203
40728,99137
40729,111379
40730,122523
40731,160112
40732,163027
40733,169461
40734,173755
40735,182608
40736,196182
40737,198398
40738,199287
40739,203422
40740,214460
40741,263305
40742,269497
40743,295882
40744,311141
40745,322822
40746,346566
40747,353533
40748,374035
40749,389364
40750,393602
40751,407367
40752,417865
40753,423839
40754,453181
40755,470392
40756,505572
40757,510540
40758,515602
40759,539989
40760,549801
40761,559191
40762,575432
40763,585412
40764,620712
40765,683120
40766,695296
40767,713607
40768,733395
40769,752071
40770,763009
40771,799912
40772,857103
40773,890751
40774,925099
40775,946178
40776,971665
40777,1034907
40778,1048904
40779,1069597
40780,1120959
40781,1239846
40782,1284391
40783,1328907
40784,1379923
40785,1403885
40786,1451374
40787,1544863
40788,1561210
40789,1565286
40790,1572669
40791,1622624
40792,1635813
40793,1648904
40794,1724329
40795,1767678
40796,1767878
40797,1768040
40798,1810289
40799,1831089
40800,1846384
40801,3041
40802,3042
40803,10682
40804,14987
40805,16123
40806,24805
40807,34107
40808,45140
40809,51034
40810,59163
40811,121036
40812,128927
40813,150996
40814,185829
40815,215144
40816,293196
40817,294868
40818,340704
40819,382447
40820,413271
40821,462250
40822,462370
40823,496777
40824,545613
40825,579817
40826,625223
40827,638076
40828,680124
40829,724927
40830,757419
40831,803215
40832,824633
40833,854805
40834,897172
40835,927496
40836,1027890
40837,1076768
40838,1122011
40839,1125708
40840,1186774
40841,1191564
40842,1270604
40843,1352828
40844,1379094
40845,1444616
40846,1445649
40847,1527923
40848,1567697
40849,1603123
40850,1647834
40851,1729147
40852,1738871
40853,1809272
40854,1851154
40855,7287
40856,11245
40857,13263
40858,16830
40859,20086
40860,26520
40861,50474
40862,51079
40863,59180
40864,70792
40865,83069
40866,99173
40867,123290
40868,132590
40869,148499
40870,180505
40871,201057
40872,215723
40873,297298
40874,332582
40875,370959
40876,386151
40877,408443
40878,444829
40879,444955
40880,455184
40884,4236
40885,95458
40886,96860
40887,96949
40888,96950
40889,97231
40890,98985
40891,102448
40892,102779
40893,124374
40894,125144
40895,157956
40896,190097
40897,204697
40898,216040
40899,275746
40900,303942
40901,347762
40902,350150
40903,391561
40904,433886
40905,440283
40906,460682
40907,501712
40908,546613
40909,598085
40910,635553
40911,680071
40912,729424
40913,778464
40914,794790
40915,809362
40916,854097
40917,10174
40918,12821
40919,16507
40920,18870
40921,18871
40922,20203
40923,26355
40924,37428
40925,49287
40926,56913
40927,68038
40928,80140
40929,103205
40930,115651
40931,142675
40932,173424
40933,257744
40934,284677
40935,326406
40936,365548
40937,389352
40938,402284
40939,416568
40940,427590
40941,443766
40942,485027
40943,490851
40944,495076
40945,495426
40946,527982
40947,581071
40948,613013
40949,631041
40950,631072
40951,660610
40952,706071
40953,758573
40954,791525
40955,835360
40956,878206
40957,929340
40958,959528
40959,1007013
40960,1056514
40961,1126071
40962,1200052
40963,1248698
40964,1314773
40965,1393662
40966,1431400
40967,1502056
40968,1601848
40969,1655903
40970,1700117
40971,1773678
40972,1833771
40973,9630
40974,10291
40975,12985
40976,38735
40977,47200
40978,58175
40979,70238
40980,82472
40981,94485
40982,125987
40983,147368
40984,210914
40985,213730
40986,286455
40987,308598
40988,328049
40989,366805
40990,403733
40991,444390
40992,484637
40993,528453
40994,571008
40995,611468
40996,658104
40997,705111
40998,747357
40999,790037
41000,834098
41001,877507
41002,927558
41003,959631
41004,1009854
41005,1056936
41006,1114395
41007,1173009
41008,1246488
41009,1316966
41010,1373910
41011,1494909
41012,1536236
41013,1545419
41014,1550642
41015,1573211
41016,1640328
41017,1682667
41018,1687756
41019,1701477
41020,1772766
41021,1850947
41075,3234
41076,14401
41077,17954
41078,23990
41079,34186
41080,45165
41081,53708
41082,67316
41083,77616
41084,86305
41085,109012
41086,124115
41087,154675
41088,185693
41089,272089
41090,298630
41091,338770
41092,379832
41093,426118
41094,455655
41095,496765
41096,542390
41097,589541
41098,13144
41099,16237
41100,19191
41101,19192
41102,19193
41103,26364
41104,37731
41105,55153
41106,59610
41107,69972
41108,91371
41109,98434
41110,118625
41111,133667
41112,133963
41113,147041
41114,170136
41115,179005
41116,206857
41117,214086
41118,275716
41119,288828
41120,314843
41121,317000
41122,331719
41123,352598
41124,356213
41125,369660
41126,401365
41127,407778
41128,442101
41129,447034
41130,464630
41131,469988
41132,471262
41133,476305
41134,487285
41135,514135
41136,533643
41137,565529
41138,566783
41139,574842
41140,600470
41141,613993
41142,633916
41143,642545
41144,649438
41145,661960
41146,692487
41147,706957
41148,743192
41149,745013
41150,751902
41151,792138
41152,820132
41153,821567
41154,827637
41155,828755
41156,836160
41157,869475
41158,878941
41159,915724
41160,917374
41161,922816
41162,951969
41163,966966
41164,984954
41165,988353
41166,989148
41167,993357
41168,1016591
41169,1047328
41170,1064530
41171,1110563
41172,1120471
41173,1178858
41174,1210685
41175,1213527
41176,1253866
41177,1297286
41178,1320165
41179,1341488
41180,1367016
41181,1377497
41182,1437438
41183,1471896
41184,1475635
41185,1490716
41186,1510980
41187,1557201
41188,1576874
41189,1605683
41190,1614493
41191,1635602
41192,1643704
41193,1688020
41194,1705033
41195,1745289
41196,1751848
41197,1751878
41198,1762420
41199,1831519
41200,1838147
41201,1839007
41202,12964
41203,16188
41204,18823
41205,18824
41206,18825
41207,19985
41208,26412
41209,37542
41210,55369
41211,61186
41212,70489
41213,82481
41214,101263
41215,118702
41216,132929
41217,147529
41218,177083
41219,178518
41220,213972
41221,275718
41222,288995
41223,307934
41224,319920
41225,331192
41226,369685
41227,397899
41228,407362
41229,447057
41230,465210
41231,477521
41232,487590
41233,533647
41234,552173
41235,559032
41236,574635
41237,614185
41238,640653
41239,661816
41240,707197
41241,730776
41242,736474
41243,751931
41244,766965
41245,797866
41246,819518
41247,825194
41248,842288
41249,884947
41250,901681
41251,909045
41252,923100
41253,935114
41254,965054
41255,988250
41256,1014708
41257,1062467
41258,1077408
41259,1096000
41260,1118756
41261,1139560
41262,1180488
41263,1212682
41264,1220903
41265,1255116
41266,1301822
41267,1321715
41268,1342584
41269,1356581
41270,1374961
41271,1383102
41272,1426991
41273,1437176
41274,1472244
41275,1488738
41276,1489329
41277,1508484
41278,1559224
41279,1576978
41280,1620581
41281,1645691
41282,1649907
41283,1665795
41284,1743784
41285,1750167
41286,1750706
41287,1755592
41288,1766777
41289,1770062
41290,1780270
41291,1840658
41292,1855252
41351,7437
41352,10051
41353,12587
41354,15370
41355,24532
41356,45284
41357,55337
41358,79366
41359,79474
41360,91644
41361,113869
41362,141268
41363,170812
41364,193032
41365,204931
41366,281273
41367,325843
41368,363038
41369,390133
41370,399471
41371,432406
41372,439200
41373,549908
41374,555598
41375,555614
41376,564761
41377,608592
41378,659290
41379,700966
41380,728832
41381,743698
41382,788382
41383,834465
41384,875276
41385,916058
41386,957950
41387,1053617
41388,1108273
41389,1166790
41390,1259982
41391,1310049
41392,1364852
41393,1513379
41394,1566021
41395,1635331
41396,1701788
41397,1756753
41398,1757545
41399,1768499
41400,1775365
41401,1830799
41402,1371
41403,1372
41404,10916
41405,13817
41406,16382
41407,21063
41408,27765
41409,42728
41410,48592
41411,64260
41412,74743
41413,84693
41414,100157
41415,125262
41416,153769
41417,164456
41418,183160
41419,209331
41420,263061
41421,297394
41422,312250
41423,342496
41424,357470
41425,376177
41426,415023
41427,452420
41428,467396
41429,474883
41430,492950
41431,536933
41432,559558
41433,583606
41434,622043
41435,669782
41436,695425
41437,714337
41438,738531
41439,760585
41440,798873
41441,843743
41442,885632
41443,911745
41444,931017
41445,968015
41446,994905
41447,1022567
41448,1066948
41449,1071560
41450,1129832
41451,1188939
41452,1262491
41453,1323457
41454,1383229
41455,1445976
41456,1523934
41457,1567472
41458,1567473
41459,1569104
41460,1573542
41461,1591928
41462,1619730
41463,1652261
41464,1720318
41465,1792121
41466,1834291
41467,1846020
41468,8202
41469,8203
41470,12039
41471,15139
41472,17729
41473,21843
41474,33589
41475,43443
41476,52660
41477,64574
41478,73552
41479,85834
41480,114434
41481,123311
41482,141287
41483,151072
41484,187624
41486,88437
41487,114410
41488,181950
41489,279081
41490,956738
41491,987567
41492,1037624
41493,1168940
41494,1284325
41495,1758412
41496,7736
41497,7737
41498,11712
41499,14992
41500,17064
41501,21656
41502,28868
41503,52977
41504,54249
41505,65044
41506,78278
41507,85667
41508,103417
41509,123363
41510,153195
41511,184715
41512,205607
41513,257749
41514,265575
41515,297383
41516,343974
41517,383905
41518,401324
41519,414749
41520,417864
41521,465858
41522,498797
41523,542519
41524,552961
41525,588452
41526,626616
41527,676375
41528,689835
41529,718000
41530,1727
41531,1728
41532,11212
41533,14157
41534,17358
41535,22454
41536,34042
41537,45308
41538,62081
41539,66974
41540,74679
41541,85335
41542,106260
41543,123138
41544,152999
41545,164446
41546,176430
41547,185368
41548,197061
41549,200459
41550,204348
41551,205227
41552,262373
41553,269798
41554,297558
41555,312551
41556,345333
41557,358413
41558,364289
41559,379467
41560,393863
41561,394761
41562,401984
41563,420866
41564,427087
41565,427552
41566,457494
41567,464903
41568,471445
41569,501331
41570,517121
41571,524123
41572,546251
41573,552823
41574,552943
41575,558538
41576,561607
41577,562703
41578,565037
41579,588766
41580,590819
41581,601930
41582,605043
41583,628531
41584,638115
41585,641501
41586,677987
41587,696837
41588,700254
41589,726974
41590,736581
41591,740524
41592,743294
41593,770193
41594,777055
41595,779220
41596,781023
41597,809495
41598,817391
41599,825043
41600,828764
41601,853503
41602,866431
41603,873356
41604,895304
41605,911113
41606,912465
41607,916089
41608,941746
41609,946866
41610,948842
41611,975113
41612,987391
41613,990218
41614,998940
41615,1027966
41616,1048134
41617,1051324
41618,1077422
41619,1084163
41620,1092804
41621,1098196
41622,1107712
41623,1140844
41624,1153241
41625,1194467
41626,1215829
41627,1226003
41628,1269029
41629,1295681
41630,1299958
41631,1330580
41632,1355312
41633,1356215
41634,1361168
41635,1409481
41636,1413743
41637,1457637
41638,1470938
41639,1485628
41640,1502185
41641,1524888
41642,1542863
41643,1544915
41644,1546117
41645,1551964
41646,1556579
41647,1557942
41648,1565084
41649,1567086
41650,1568113
41651,1588734
41652,1618516
41653,1623276
41654,1625234
41655,1636036
41656,1686239
41657,1711334
41658,1731408
41659,1743821
41660,1761248
41661,1762845
41662,1767142
41663,1767190
41664,1770004
41665,1771326
41666,1771577
41667,1824134
41668,1827332
41669,1829044
41670,1832227
41671,1857701
41672,13522
41673,15570
41674,18719
41675,18720
41676,18721
41677,20485
41678,27326
41679,39880
41680,46699
41681,58243
41682,70536
41683,81779
41684,95030
41685,126163
41686,148152
41687,209223
41688,213727
41689,264896
41690,282305
41691,283369
41692,283371
41693,288830
41694,332536
41695,370866
41696,394845
41697,405273
41698,427761
41699,448319
41700,488983
41701,533323
41702,562752
41703,564369
41704,565046
41705,573173
41706,599629
41707,615154
41708,670518
41709,709001
41710,738832
41711,743432
41712,750595
41713,779451
41714,793717
41715,843413
41716,872794
41717,885964
41718,911738
41719,922019
41720,948083
41721,968511
41722,1017223
41723,1064737
41724,1098145
41725,1107623
41726,1116682
41727,1182132
41728,1222925
41729,1257761
41730,1322390
41731,1354763
41732,1358302
41733,1411135
41734,1422396
41735,1464039
41736,1543462
41737,1565292
41738,1615952
41739,1639076
41740,1654074
41741,1686355
41742,1739704
41743,1761009
41744,1768857
41745,1825806
41746,1857675
41787,8574
41788,11773
41789,13921
41790,16685
41791,21541
41792,28780
41793,45473
41794,49473
41795,59945
41796,74181
41797,101784
41798,110441
41799,122929
41800,164893
41801,169211
41802,184764
41803,203279
41804,218661
41805,270660
41806,297162
41807,306568
41808,313807
41809,341860
41810,344038
41811,376063
41812,388214
41813,412099
41814,416311
41815,424766
41816,454460
41817,494649
41818,538716
41819,578768
41820,628876
41821,679533
41822,725011
41823,755836
41824,809452
41825,853609
41826,894699
41827,927156
41828,975091
41829,1022336
41830,1064137
41831,1090187
41832,1130061
41833,1182003
41834,1257088
41835,1336945
41836,1388071
41837,1392911
41838,1410284
41839,1452691
41840,1482705
41841,1487768
41842,1490332
41843,1491603
41844,1534551
41845,1554085
41846,1558514
41847,1611495
41848,1631181
41849,1631181
41850,1652966
41851,1695229
41852,1724307
41853,1760810
41854,1762440
41855,1762541
41856,1762693
41857,1763143
41858,1769232
41859,1795439
41860,1831511
41861,1860018
41872,3648
41873,9887
41874,12878
41875,66433
41876,80259
41877,91081
41878,112101
41879,137257
41880,173580
41881,203091
41882,278323
41883,321187
41885,14082
41886,17481
41887,18346
41888,18347
41889,18348
41890,22735
41891,32903
41892,49654
41893,49759
41894,58696
41895,70967
41896,92497
41897,104675
41898,119908
41944,2512
41945,2513
41946,10833
41947,13712
41948,16111
41949,20864
41950,28043
41951,39674
41952,47670
41953,66817
41954,72150
41955,86603
41956,97030
41957,112376
41958,120035
41959,149261
41960,168628
41961,180446
41962,212399
41963,275832
41964,291864
41965,313814
41966,334613
41967,353710
41968,377458
41969,410955
41970,411248
41971,432277
41972,449288
41973,496515
41974,515636
41975,540281
41976,575363
41977,582419
41978,600802
41979,625236
41980,672295
41981,717879
41982,752782
41983,780345
41984,801212
41985,888549
41986,955563
41987,1018610
41988,1043992
41989,1183812
41990,1258748
41991,1325781
41992,1410808
41993,1412466
41994,1412467
41995,1412468
41996,1412469
41997,1412470
41998,1412471
41999,1412848
42000,1443220
42001,1512620
42002,1599777
42003,1646408
42004,1678491
42005,1683204
42006,1701467
42007,1716017
42008,1796202
42009,1819962
42010,1850635
42054,1002476
42055,1037022
42056,1080602
42057,1158117
42058,1205431
42059,1225791
42060,1277768
42061,1337615
42062,1350423
42063,1423604
42064,1449889
42065,1488651
42066,1491148
42067,1520499
42068,1588696
42069,1665576
42070,1719018
42071,1761535
42072,1833466
42073,1850880
42074,1592
42075,1593
42076,12044
42077,24110
42078,32907
42079,44424
42080,55401
42081,65676
42082,77024
42083,89793
42084,114695
42085,133636
42086,165308
42087,198322
42088,281578
42089,317867
42090,358507
42092,8052
42093,14438
42094,65329
42095,79104
42096,87612
42097,110863
42098,126837
42099,156467
42100,205798
42101,283531
42102,300800
42104,4427
42105,4428
42106,9861
42107,10256
42108,12716
42109,20058
42110,24286
42111,26351
42112,54985
42113,57376
42114,68650
42115,81023
42116,98420
42117,117943
42118,146252
42119,180145
42120,214153
42121,322383
42122,324776
42123,349190
42124,352586
42125,371406
42126,408502
42127,420201
42128,447639
42129,489128
42130,533678
42131,574667
42132,615796
42133,662803
42134,713044
42135,752009
42136,765326
42137,793273
42138,852759
42139,884130
42140,922859
42141,963247
42142,1016723
42143,1066707
42144,1124371
42145,1149827
42146,1178904
42147,1253722
42148,1323770
42149,1362581
42150,1378758
42151,1399279
42152,1441456
42153,1517007
42154,1550907
42155,1582298
42156,1645954
42157,1708153
42158,1768865
42159,1781741
42160,1839613
42177,7662
42178,11984
42179,14058
42180,21190
42181,25135
42182,27869
42183,39508
42184,50793
42185,61291
42186,70827
42187,83622
42188,113884
42189,131407
42190,148769
42191,178111
42192,256799
42193,292554
42194,334826
42195,373293
42196,417504
42197,429077
42198,455012
42199,495725
42200,540689
42201,589078
42202,617784
42203,672162
42204,721634
42205,762557
42206,800330
42207,845309
42208,887610
42209,933218
42210,968945
42211,1018046
42212,1066621
42213,1136953
42214,1198020
42215,1259423
42216,1333894
42217,1422377
42218,1452108
42219,1492500
42220,1512832
42221,1543304
42222,1551677
42223,1590683
42224,1667535
42225,1722977
42226,1766867
42227,1812586
42228,1850687
42229,12847
42230,15506
42231,18921
42232,18922
42233,18923
42234,19678
42235,25943
42236,38218
42237,47874
42238,56904
42239,67881
42240,80188
42241,95730
42242,115650
42243,143031
42244,173545
42245,210620
